,english,arabic
109,2. The representative of the Commission shall submit a draft of the measures to be taken. The Committee shall deliver its Opinion on such measures within a time limit to be set by the Chairman according to the urgency of the matter. An Opinion shall be adopted by a majority of 41 votes.,المادة 17
110,Article 18,يتوجب على المفوضية الأوروبية اعتماد تدابير تنفذ فوراً. ولكن، إذا لم تكن هذه التدابير متوافقة مع الرأي الصادر عن اللجنة، تحيلها المفوضية الأوروبية حالاً إلى المجلس. وفي هذه الحالة، يمكن للمفوضية الأوروبية تأجيل تنفيذ التدابير التي اعتمدتها لمدة لا تتجاوز الشهر من تاريخ الإحالة.
111,"Save as otherwise provided in this Regulation, Articles 92 to 94 of the Treaty shall apply to the production of and trade in the products specified in Article 1 (1).",يجوز للّجنة اعتبار أي مسألة تحال إليها من قبل رئيسها، سواء كان ذلك بمبادرة خاصة من قبله أو بطلب من ممثل دولة عضو.
112,Article 21,المادة 20
113,"1. Council Regulation No 123/67/EEC (2) of 13 June 1967 on the common organization of the market in poultrymeat, as last amended by the Council Decision of 1 January 1973 (3) adjusting the documents concerning the accession of the new Member States to the European Communities, is hereby repealed.",في حال لجأت إيطاليا إلى أحكام المادة 23 من نظام المجلس (EEC) رقم (1)2727/75  بتاريخ 29 أكتوبر/تشرين الأول 1975 بشأن التنظيم المشترك لسوق الحبوب، يتوجب على المجلس، بالأغلبية المحددة بناءً على اقتراح المفوضية الأوروبية، اتخاذ التدابير اللازمة لتفادي اختلالات المنافسة.
114,Article 23,2. يجب اعتبار كل الإشارات إلى النظام المنقوض بموجب الفقرة 1، كإشارات إلى هذا النظام.
115,"HAVING REGARD TO THE TREATY ESTABLISHING THE EUROPEAN ECONOMIC COMMUNITY , AND IN PARTICULAR ARTICLE 100 THEREOF ,",يدخل هذا النظام حيز التنفيذ في 1 نوفمبر/تشرين الثاني 1975. (1) OJ رقم L 281، تاريخ 1.11.1975، ص. 7.  (2) OJ رقم 117، تاريخ 19.6.1967، ص. 2301/67. (3) OJ رقم L 2، 1.1.1973، ص. 1.
116,"HAVING REGARD TO THE OPINION OF THE ECONOMIC AND SOCIAL COMMITTEE ( 2 ) ,",مع الأخذ في الاعتبار اقتراح المفوضية الأوروبية،
117,"WHEREAS THE APPROXIMATION OF NATIONAL LAWS RELATING TO MOTOR VEHICLES INVOLVES THE MUTUAL RECOGNITION BY MEMBER STATES OF THE INSPECTIONS CARRIED OUT BY EACH OF THEM ON THE BASIS OF COMMON PROVISIONS ; WHEREAS , FOR SUCH A SYSTEM TO FUNCTION SUCCESSFULLY , THESE PROVISIONS MUST BE APPLIED BY ALL MEMBER STATES WITH EFFECT FROM THE SAME DATE ,",حيث أن المتطلبات التقنية التي يجب أن تلبيها المركبات الآلية بموجب القوانين المحلية، ترتبط  من بين أمور أخرى، باللوحات والنقوش النظامية ومواقعها وطرق وضعها؛
118,"FOR THE PURPOSES OF THIS DIRECTIVE , "" VEHICLE "" MEANS ANY MOTOR VEHICLE INTENDED FOR USE ON THE ROAD , WITH OR WITHOUT BODYWORK , HAVING AT LEAST FOUR WHEELS AND A MAXIMUM DESIGN SPEED EXCEEDING 25 KM / H , AND ITS TRAILERS , WITH THE EXCEPTION OF VEHICLES WHICH RUN ON RAILS , AGRICULTURAL OR FORESTRY TRACTORS AND MACHINERY , AND PUBLIC WORKS VEHICLES .",اعتمد هذا التوجيه:
119,ARTICLE 3,المادة 2
120,THE AMENDMENTS NECESSARY TO ADAPT THE REQUIREMENTS OF THE ANNEX TO TECHNICAL PROGRESS SHALL BE ADOPTED IN ACCORDANCE WITH THE PROCEDURE LAID DOWN IN ARTICLE 13 OF DIRECTIVE 70/156/EEC .,لا يحق لأي دولة عضو رفض تسجيل أو منع بيع أو تشغيل أو استخدام مركبة لأسباب متعلقة باللوحات والنقوش النظامية ومواقعها وطرق وضعها، في حال كانت هذه الأخيرة تستوفي المتطلبات المحددة في ملحق هذا التوجيه.
121,ARTICLE 6,المادة 5
122,"Having regard to the Treaty establishing the European Economic Community, and in particular Articles 100 and 235 thereof,",توجيه المجلس بتاريخ 8 ديسمبر/كانون الأول 1975، بشأن جودة المياه الصالحة للسباحة (76/160/EEC)
123,"Having regard to the opinion of the Economic and Social Committee (2),",مع الأخذ في الاعتبار اقتراح المفوضية الأوروبية،
124,"Whereas there exist in this area certain laws, regulations or administrative provisions in Member States which directly affect the functioning of the common market ; whereas, however, not all the powers needed to act in this way have been provided for in the Treaty;",حيث أنه بغية حماية البيئة والصحة العامة، من الضروري الحد من تلوث المياه الصالحة للسباحة وحماية هذه المياه من أي تدهور إضافي؛
125,"Whereas it should be provided that bathing water will, under certain conditions, be deemed to conform to the relevant parametric values even if a certain percentage of samples taken during the bathing season does not comply with the limits specified in the Annex;",حيث أن برنامج العمل الخاص بالجماعات الأوروبية بشأن البيئة (3) ينص على وضع أهداف الجودة بصورة مشتركة مع تحديد مختلف المتطلبات التي يجب أن تستوفيها البيئة، ومن بين أمور أخرى، تعريف معايير المياه ومن بينها المياه الصالحة للسباحة؛
